kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
599638,Hrubý Jeseník,470,283,281,17,1,0,24,0,25,17,1,1,9,0,2,34,0,0,13,105,0,1,7,0,2,1,0,21,0
599620,Chleby,335,200,200,23,1,0,13,0,13,13,2,3,0,0,0,16,0,0,11,68,0,0,4,0,1,1,0,30,1
537217,Choťánky,354,247,246,33,1,0,22,0,20,15,0,3,3,0,0,21,0,0,16,76,0,0,14,0,0,1,0,20,1
537225,Chotěšice,275,151,151,12,0,0,11,0,6,19,2,1,5,0,2,12,1,1,8,52,0,0,1,0,0,0,0,17,1
537233,Chrást,406,255,255,40,1,0,17,0,20,15,3,2,5,0,0,29,0,0,14,86,0,0,2,1,1,2,1,14,2
534706,Chroustov,178,123,123,12,0,0,11,0,14,18,2,0,0,0,0,9,0,0,1,49,0,0,2,0,0,1,0,4,0
537250,Jíkev,261,132,132,5,0,0,9,0,8,17,1,1,1,0,0,2,0,0,3,64,0,0,6,0,1,0,2,12,0
599581,Jiřice,568,459,451,49,1,1,17,1,21,22,8,9,4,1,1,56,4,1,17,155,1,7,10,0,2,4,11,44,4
537268,Jizbice,285,182,182,17,0,0,23,0,6,11,3,0,1,1,1,38,0,0,10,53,0,0,0,0,0,1,0,17,0
537276,Kamenné Zboží,428,254,252,18,0,0,28,1,20,22,9,0,5,0,0,20,0,0,13,77,0,2,7,0,0,0,0,30,0
537292,Kněžice,421,283,282,11,1,0,30,0,23,25,2,9,1,3,0,36,1,1,10,97,0,1,4,0,2,0,0,25,0
551481,Kněžičky,152,109,109,13,0,0,15,0,5,8,3,6,3,0,1,7,0,0,2,30,0,0,1,0,0,0,2,13,0
537306,Kolaje,72,44,43,1,0,0,5,0,1,2,0,0,1,0,0,0,0,0,8,16,0,2,1,0,0,0,0,6,0
537314,Kostelní Lhota,678,463,455,41,1,0,23,0,80,36,4,3,4,1,0,45,1,0,19,157,0,1,6,0,2,4,2,24,1
529630,Kostomlátky,257,169,168,16,0,0,9,1,17,18,1,2,3,0,0,17,0,0,2,60,0,1,5,1,0,0,0,14,1
537331,Kostomlaty nad Labem,1492,906,902,77,0,0,48,0,59,66,15,8,17,0,1,136,0,2,53,306,0,2,27,0,1,2,2,77,3
537349,Košík,292,180,179,11,0,1,7,0,8,20,3,3,1,1,0,12,0,1,9,70,0,1,6,0,3,0,0,22,0
